iter	Passed	Remaining
339	915	1776
340	916	1770
341	917	1764
342	918	1759
343	919	1753
344	920	1747
345	921	1742
346	922	1736
347	923	1731
348	925	1725
349	926	1720
350	927	1714
351	928	1708
352	929	1703
353	930	1698
354	931	1692
355	932	1686
356	933	1681
357	934	1676
358	935	1670
359	937	1665
360	938	1660
361	939	1655
362	940	1650
363	941	1644
364	942	1639
365	943	1634
366	944	1629
367	946	1624
368	947	1619
369	948	1614
370	949	1609
371	950	1604
372	951	1599
373	952	1594
374	953	1589
375	955	1585
376	956	1580
377	957	1575
378	958	1569
379	959	1564
380	961	1561
381	967	1566
382	974	1570
383	977	1567
384	978	1562
385	979	1557
386	980	1552
387	981	1548
388	983	1544
389	984	1539
390	985	1534
391	986	1529
392	987	1525
393	988	1520
394	990	1516
395	991	1511
396	991	1506
397	992	1501
398	994	1497
399	994	1492
400	996	1487
401	997	1483
402	998	1478
403	999	1474
404	1000	1469
405	1001	1465
406	1003	1461
407	1004	1457
408	1005	1452
409	1006	1448
410	1007	1444
411	1008	1439
412	1009	1435
413	1010	1430
414	1011	1426
415	1012	1421
416	1013	1417
417	1015	1413
418	1016	1409
419	1017	1405
420	1018	1401
421	1019	1396
422	1020	1392
423	1022	1388
424	1022	1384
425	1023	1379
426	1024	1375
427	1025	1370
428	1028	1369
429	1034	1371
430	1041	1375
431	1043	1372
432	1049	1374
433	1056	1377
434	1062	1380
435	1063	1376
436	1065	1372
437	1066	1368
438	1067	1364
439	1068	1359
440	1069	1355
441	1070	1351
442	1071	1347
443	1072	1343
444	1073	1339
445	1074	1335
446	1075	1331
447	1077	1327
448	1078	1323
449	1079	1319
450	1080	1315
451	1081	1311
452	1082	1307
453	1083	1303
454	1084	1299
455	1085	1295
456	1087	1291
457	1088	1287
458	1089	1283
459	1090	1280
460	1091	1276
461	1092	1272
462	1093	1268
463	1095	1265
464	1096	1261
465	1097	1257
466	1098	1253
467	1099	1249
468	1100	1245
469	1101	1242
470	1102	1238
471	1103	1234
472	1104	1231
473	1106	1227
474	1107	1223
475	1108	1220
476	1109	1216
477	1110	1212
478	1111	1208
479	1112	1204
480	1115	1203
481	1121	1205
482	1128	1208
483	1130	1204
484	1131	1201
485	1132	1197
486	1133	1194
487	1134	1190
488	1136	1187
489	1137	1183
490	1138	1180
491	1139	1176
492	1140	1172
493	1141	1169
494	1142	1165
495	1143	1162
496	1145	1158
497	1146	1155
498	1147	1151
499	1148	1148
500	1149	1144
501	1150	1141
502	1151	1138
503	1153	1134
504	1154	1131
505	1155	1128
506	1156	1124
507	1157	1121
508	1158	1117
509	1160	1114
510	1161	1111
511	1162	1107
512	1163	1104
513	1164	1101
514	1165	1098
515	1166	1094
516	1168	1091
517	1169	1087
518	1170	1084
519	1171	1081
520	1172	1077
521	1173	1074
522	1174	1071
523	1175	1067
524	1176	1064
525	1177	1061
526	1178	1057
527	1179	1054
528	1181	1052
529	1189	1054
530	1196	1056
531	1200	1055
532	1203	1054
533	1206	1053
534	1210	1051
535	1213	1050
536	1216	1048
537	1219	1047
538	1223	1046
539	1226	1044
540	1229	1043
541	1232	1041
542	1236	1040
543	1239	1039
544	1242	1037
545	1246	1036
546	1247	1033
547	1249	1030
548	1251	1028
549	1253	1025
550	1255	1022
551	1256	1019
552	1257	1016
553	1258	1013
554	1260	1010
555	1261	1007
556	1262	1003
557	1263	1000
558	1264	997
559	1265	994
560	1266	990
561	1266	987
562	1267	984
563	1270	982
564	1276	982
565	1283	983
566	1285	981
567	1291	982
568	1298	983
569	1304	984
570	1305	980
571	1312	982
572	1320	983
573	1324	982
574	1330	983
575	1337	984
576	1343	985
577	1347	983
578	1353	984
579	1360	984
580	1363	983
581	1368	982
582	1375	983
583	1381	983
584	1383	981
585	1389	981
586	1395	981
587	1401	981
588	1402	978
589	1403	975
590	1404	972
591	1406	969
592	1407	965
593	1408	962
594	1409	959
595	1410	956
596	1411	952
597	1412	949
598	1413	946
599	1414	943
600	1415	940
601	1416	936
602	1417	933
603	1419	930
604	1420	927
605	1421	924
606	1422	921
607	1423	917
608	1424	914
609	1425	911
610	1426	908
611	1427	905
612	1428	902
613	1429	898
614	1431	895
615	1432	892
616	1433	889
617	1434	886
618	1435	883
619	1436	880
620	1437	877
621	1438	874
622	1440	871
623	1441	868
624	1442	865
625	1443	862
626	1444	859
627	1445	856
628	1446	853
629	1447	850
630	1448	847
631	1449	844
632	1450	841
633	1451	838
634	1452	835
635	1458	834
636	1465	835
637	1469	834
638	1471	831
639	1472	828
640	1473	825
641	1474	822
642	1475	819
643	1476	816
644	1477	813
645	1478	810
646	1480	807
647	1481	804
648	1482	801
649	1483	798
650	1484	795
651	1485	792
652	1486	789
653	1487	786
654	1488	784
655	1489	781
656	1490	778
657	1491	775
658	1492	772
659	1493	769
660	1495	766
661	1496	763
662	1497	761
663	1498	758
664	1499	755
665	1501	752
666	1502	750
667	1503	747
668	1504	744
669	1505	741
670	1506	738
671	1508	736
672	1509	733
673	1510	730
674	1511	727
675	1512	724
676	1513	722
677	1514	719
678	1515	716
679	1517	713
680	1518	711
681	1519	708
682	1520	705
683	1526	705
684	1533	705
685	1538	704
686	1539	701
687	1541	698
688	1542	696
689	1543	693
690	1544	690
691	1545	687
692	1546	685
693	1548	682
694	1549	679
695	1550	677
696	1551	674
697	1552	671
698	1553	669
699	1555	666
700	1556	663
701	1557	661
702	1558	658
703	1559	655
704	1560	652
705	1561	650
706	1562	647
707	1563	644
708	1564	642
709	1565	639
710	1566	636
711	1567	634
712	1568	631
713	1570	628
714	1571	626
715	1572	623
716	1573	620
717	1574	618
718	1576	615
719	1577	613
720	1578	610
721	1579	608
722	1580	605
723	1581	602
724	1582	600
725	1583	597
726	1584	595
727	1586	592
728	1587	590
729	1588	587
730	1589	584
731	1590	582
732	1592	580
733	1598	579
734	1606	579
735	1609	577
736	1616	576
737	1623	576
738	1626	574
739	1628	572
740	1629	569
741	1630	566
742	1631	564
743	1632	561
744	1634	559
745	1635	556
746	1636	554
747	1637	551
748	1638	549
749	1639	546
750	1641	544
751	1642	541
752	1643	539
753	1644	536
754	1645	534
755	1646	531
756	1648	529
757	1649	526
758	1650	524
759	1651	521
760	1652	518
761	1653	516
762	1654	513
763	1655	511
764	1657	509
765	1659	506
766	1660	504
767	1662	502
768	1663	499
769	1664	497
770	1665	494
771	1666	492
772	1667	489
773	1668	487
774	1669	484
775	1671	482
776	1672	479
777	1673	477
778	1676	475
779	1683	474
780	1690	473
781	1691	471
782	1694	469
783	1696	467
784	1698	465
785	1699	462
786	1701	460
787	1703	458
788	1705	456
789	1707	453
790	1709	451
791	1711	449
792	1713	447
793	1714	444
794	1716	442
795	1718	440
796	1720	438
797	1722	435
798	1724	433
799	1725	431
800	1727	429
801	1729	426
802	1731	424
803	1732	422
804	1734	420
805	1736	417
806	1738	415
807	1739	413
808	1741	411
809	1742	408
810	1743	406
811	1744	403
812	1745	401
813	1746	399
814	1747	396
815	1749	394
816	1750	392
817	1751	389
818	1751	387
819	1756	385
820	1764	384
821	1770	383
822	1771	381
823	1773	378
824	1774	376
825	1775	373
826	1776	371
827	1777	369
828	1778	366
829	1780	364
830	1781	362
831	1783	360
832	1785	357
833	1787	355
834	1789	353
835	1790	351
836	1792	349
837	1794	346
838	1796	344
839	1797	342
840	1799	340
841	1801	338
842	1803	335
843	1804	333
844	1806	331
845	1808	329
846	1810	327
847	1812	324
848	1814	322
849	1815	320
850	1817	318
851	1819	316
852	1821	313
853	1822	311
854	1824	309
855	1826	307
856	1827	304
857	1829	302
858	1831	300
859	1832	298
860	1835	296
861	1836	294
862	1838	291
863	1840	289
864	1842	287
865	1843	285
866	1844	282
867	1845	280
868	1846	278
869	1847	276
870	1849	273
871	1850	271
872	1851	269
873	1852	267
874	1853	264
875	1854	262
876	1857	260
877	1863	258
878	1870	257
879	1872	255
880	1873	253
881	1875	250
882	1876	248
883	1877	246
884	1878	244
885	1879	241
886	1880	239
887	1881	237
888	1883	235
889	1884	232
890	1885	230
891	1886	228
892	1887	226
893	1889	223
894	1890	221
895	1891	219
896	1892	217
897	1893	215
898	1894	212
899	1895	210
900	1896	208
901	1899	206
902	1902	204
903	1905	202
904	1908	200
905	1912	198
906	1915	196
907	1918	194
908	1921	192
909	1924	190
910	1928	188
911	1931	186
912	1934	184
913	1937	182
914	1940	180
915	1943	178
916	1946	176
917	1949	174
918	1952	172
919	1955	170
920	1959	168
921	1962	166
922	1964	163
923	1965	161
924	1967	159
925	1969	157
926	1971	155
927	1972	153
928	1973	150
929	1974	148
930	1975	146
931	1976	144
932	1977	142
933	1978	139
934	1979	137
935	1980	135
936	1981	133
937	1982	131
938	1983	128
939	1986	126
940	1992	124
941	1998	123
942	2001	120
943	2002	118
944	2003	116
945	2004	114
946	2005	112
947	2006	110
948	2007	107
949	2008	105
950	2010	103
951	2011	101
952	2012	99
953	2013	97
954	2014	94
955	2015	92
956	2016	90
957	2017	88
958	2018	86
959	2020	84
960	2021	82
961	2022	79
962	2023	77
963	2024	75
964	2025	73
965	2026	71
966	2027	69
967	2029	67
968	2030	64
969	2031	62
970	2032	60
971	2033	58
972	2034	56
973	2035	54
974	2036	52
975	2038	50
976	2039	48
977	2040	45
978	2040	43
979	2041	41
980	2042	39
981	2043	37
982	2045	35
983	2046	33
984	2047	31
985	2048	29
986	2049	26
987	2050	24
988	2051	22
989	2052	20
990	2057	18
991	2063	16
992	2069	14
993	2072	12
994	2075	10
995	2078	8
996	2082	6
997	2085	4
998	2088	2
999	2090	0
